,com_code,Nom,population,forêt,K2,densité population,densité de foret,temperature,humidity,weather_description,code_dep
126,44020,Bouguenais,20732,0,"33,77382292",614,0,"19,04",63,clear sky,44
127,44026,Carquefou,21029,0,"47,19661882",446,0,"18,99",64,clear sky,44
128,44035,La Chapelle-sur-Erdre,20813,0,"36,36630632",572,0,"18,87",64,clear sky,44
129,44047,Couëron,23329,0,"52,95580796",441,0,"18,95",63,clear sky,44
130,44109,Nantes,328144,31970,"71,43585962",4594,448,"18,94",55,clear sky,44
131,44114,Orvault,28545,0,"30,22523896",944,0,"18,89",64,clear sky,44
132,44143,Rezé,43720,0,"16,8477483",2595,0,"18,97",63,clear sky,44
133,44162,Saint-Herblain,50253,0,"32,50323881",1546,0,"18,92",63,clear sky,44
134,44184,Saint-Nazaire,73760,22680,"54,42423277",1355,417,"15,79",79,clear sky,44
135,44190,Saint-Sébastien-sur-Loire,28937,0,"12,73249479",2273,0,"19,06",63,clear sky,44
136,44215,Vertou,26502,126600,"41,24362878",643,3070,"18,99",63,clear sky,44
137,45147,Fleury-les-Aubrais,21680,0,"11,34121451",1912,0,"18,02",72,clear sky,45
138,45232,Olivet,23370,0,"25,93402109",901,0,"18,27",72,clear sky,45
139,45234,Orléans,119065,0,"30,69808217",3879,0,"18,17",68,few clouds,45
140,45284,Saint-Jean-de-Braye,22312,12012,"15,30571659",1458,785,"18,06",72,clear sky,45
141,46042,Cahors,21045,0,"63,67458789",331,0,"16,58",71,broken clouds,46
142,47001,Agen,33299,27797,"11,22022819",2968,2477,"20,05",52,few clouds,47
143,47323,Villeneuve-sur-Lot,22343,0,"79,64458701",281,0,"19,03",73,overcast clouds,47
144,49007,Angers,160436,0,"48,53749937",3305,0,"20,99",44,overcast clouds,49
145,49023,Beaupréau-en-Mauges,24355,0,"251,1255264",97,0,"18,64",80,overcast clouds,49
146,49092,Chemillé-en-Anjou,22009,0,"348,1530956",63,0,"20,52",79,overcast clouds,49
147,49099,Cholet,55882,7434,"94,31945022",592,79,"18,58",80,overcast clouds,49
148,49301,Sèvremoine,26419,23302,"231,8132679",114,101,"18,51",80,overcast clouds,49
149,49328,Saumur,27113,11764,"72,33170058",375,163,"20,62",47,broken clouds,49
150,50129,Cherbourg-en-Cotentin,80020,0,"81,792789",978,0,"14,84",88,overcast clouds,50
151,50502,Saint-Lô,20181,0,"27,14820843",743,0,"18,24",80,overcast clouds,50
152,51108,Châlons-en-Champagne,44928,408292,"30,21678857",1487,13512,"16,48",72,broken clouds,51
153,51230,Épernay,22485,0,"26,5787751",846,0,"16,86",75,overcast clouds,51
154,51454,Reims,182220,0,"54,98171389",3314,0,"16,88",72,overcast clouds,51
155,52121,Chaumont,22869,150946,"61,8955418",369,2439,"14,28",77,overcast clouds,52
156,52448,Saint-Dizier,23500,10800,"55,72693601",422,194,"16,78",79,broken clouds,52
157,53130,Laval,52179,0,"38,37463969",1360,0,"11,68",88,light rain,53
158,54395,Nancy,105753,178486,"17,1472501",6167,10409,"16,89",45,clear sky,54
159,54547,Vanduvre-lès-Nancy,29829,0,"10,70728354",2786,0,"17,29",45,clear sky,54
160,56098,Lanester,23530,0,"18,00173123",1307,0,"16,08",74,clear sky,56
161,56121,Lorient,59317,0,"16,40416254",3616,0,"16,12",75,clear sky,56
162,56260,Vannes,56366,0,"36,21763508",1556,0,"17,34",73,broken clouds,56
163,57227,Forbach,21411,0,"19,22845633",1114,0,"16,53",39,clear sky,57
164,57463,Metz,122714,34006,"48,66023648",2522,699,"17,71",45,clear sky,57
165,57480,Montigny-lès-Metz,22173,0,"7,759086282",2858,0,"18,64",45,clear sky,57
166,57631,Sarreguemines,21080,692517,"34,93371936",603,19824,"16,06",66,overcast clouds,57
