com_code;code postal;Nom;com pos;lat;lon;population;forêt;K2;densité popopulation;densité de foret;temperature;humidity;weather_description;market;nb_hop;log moy;log min;log max
33063;33000;Bordeaux;33000-Bordeaux;44,85724454;-0,573696781;265255;443232;49,53226284;5355;8948;19;63;few clouds;54;3;723654;1;9660000
33069;33110;Le Bouscat;33110-Le Bouscat;44,86612983;-0,602121559;24640;0;5,251534709;4692;0;19;59;few clouds;5;0;553632;118;3000000
33075;33520;Bruges;33520-Bruges;44,88894694;-0,600427664;20437;95214;14,18570997;1441;6712;15;80;overcast clouds;3;0;372223;1;3881160
33119;33150;Cenon;33150-Cenon;44,85483257;-0,521018807;27014;0;5,703831867;4736;0;19;59;few clouds;5;0;226826;1201;980000
33162;33320;Eysines;33320-Eysines;44,87971524;-0,647899475;24691;0;12,00024288;2058;0;19;59;few clouds;10;0;460475;25;3050000
33192;33170;Gradignan;33170-Gradignan;44,77094112;-0,616137682;26190;0;15,6247133;1676;0;20;63;few clouds;12;0;549659;1;8846984
33199;33470;Gujan-Mestras;33470-Gujan-Mestras;44,59403612;-1,084274559;22854;0;49,52166406;461;0;18;63;clear sky;1;0;408764;1;3000000
33243;33500;Libourne;33500-Libourne;44,91307679;-0,234709332;25063;0;20,62571371;1215;0;20;75;broken clouds;14;1;444384;1;7112000
33249;33310;Lormont;33310-Lormont;44,87659726;-0,519774925;23652;1891;7,769589953;3044;243;19;59;few clouds;8;1;233691;2295;3100000
33281;33700;Mérignac;33700-Mérignac;44,83229533;-0,681733085;76532;407514;47,60954515;1607;8560;19;59;few clouds;45;0;452162;1;10700000
33318;33600;Pessac;33600-Pessac;44,79159905;-0,676303166;67522;0;38,36735544;1760;0;20;64;few clouds;22;0;739471;1;7386720
33449;33160;Saint-Médard-en-Jalles;33160-Saint-Médard-en-Jalles;44,88326208;-0,784239884;33062;120780;84,69622983;390;1426;19;59;few clouds;8;0;326834;1;4461397,5
33522;33400;Talence;33400-Talence;44,80608175;-0,591124593;46278;0;8,246602151;5612;0;20;66;few clouds;9;1;293917;1;1991800
33529;33115;La Teste-de-Buch;33115-La Teste-de-Buch;44,55618231;-1,175308268;26923;0;175,5774415;153;0;18;63;clear sky;5;0;2406644;140000;9800000
33550;33140;Villenave-d'Ornon;33140-Villenave-d'Ornon;44,77318522;-0,558212256;40776;138606;21,13217345;1930;6559;20;66;few clouds;15;0;341560;1;3200000
34003;34300;Agde;34300-Agde;43,30912912;3,484479031;29504;10128;47,94235169;615;211;23;35;clear sky;53;1;187564;1;3000000
34032;34500;Béziers;34500-Béziers;43,34758833;3,230767542;81456;69224;90,46585581;900;765;20;41;few clouds;31;4;208794;1;2940000
34057;34170;Castelnau-le-Lez;34170-Castelnau-le-Lez;43,63802188;3,91265416;25320;2087;10,60286707;2388;197;20;45;clear sky;10;1;396340;100;3000000
34108;34110;Frontignan;34110-Frontignan;43,44824589;3,749235224;24040;12406;37,76611554;637;328;21;44;broken clouds;1;0;255924;1;1300000
34145;34400;Lunel;34400-Lunel;43,68204818;4,135664723;26470;0;23,19605586;1141;0;21;46;clear sky;150;3;274598;1;3600000
34172;34000;Montpellier;34000-Montpellier;43,61344091;3,868516579;305743;48978;54,46339121;5614;899;21;46;clear sky;89;3;407226;1;5350000
34301;34200;Sète;34200-Sète;43,39177058;3,647051483;45286;47268;39,57914555;1144;1194;21;45;broken clouds;4;0;293998;1;1900000
35047;35170;Bruz;35170-Bruz;48,02617553;-1,748174809;20118;0;33,28825196;604;0;19;63;clear sky;2;0;290901;11;4200000
35115;35300;Fougères;35300-Fougères;48,35246971;-1,194311772;21247;0;11,78051478;1804;0;18;85;overcast clouds;3;0;162633;1;700000
35238;35000;Rennes;35000-Rennes;48,11197912;-1,681864491;229178;19876;56,53140706;4054;352;19;63;clear sky;124;3;365163;1;6711600
35288;35400;Saint-Malo;35400-Saint-Malo;48,64004435;-1,980606273;48609;0;41,75115106;1164;0;19;68;overcast clouds;18;0;668321;1;13975000
36044;36000;Châteauroux;36000-Châteauroux;46,80296178;1,69399812;44560;0;27,20516104;1638;0;19;63;few clouds;13;0;197616;1;5408400
37122;37300;Joué-lès-Tours;37300-Joué-lès-Tours;47,33355607;0,6545463;38592;0;35,29086786;1094;0;18;72;clear sky;5;0;202853;1;2600000
37261;37000;Tours;37000-Tours;47,39863823;0,696526376;140116;0;36,49917034;3839;0;18;72;clear sky;19;0;241568;1;1473976,6
38053;38300;Bourgoin-Jallieu;38300-Bourgoin-Jallieu;45,6022028;5,273937621;30195;34245;25,21530556;1197;1358;16;60;broken clouds;3;0;199948;1;947580
38151;38130;Échirolles;38130-Échirolles;45,14716472;5,715356002;37048;2048;7,886171613;4698;260;16;73;scattered clouds;36;0;207211;2000;1425000
38169;38600;Fontaine;38600-Fontaine;45,19305025;5,677630665;23134;3956;6,751874095;3426;586;16;65;scattered clouds;12;0;152814;10000;2150000
38185;38000;Grenoble;38000-Grenoble;45,18212152;5,721330518;159738;1332120;18,7003371;8542;71235;8;72;scattered clouds;116;1;213294;500;853250
38421;38400;Saint-Martin-d'Hères;38400-Saint-Martin-d'Hères;45,17620126;5,764763607;38708;16792;9,523021839;4065;1763;16;73;scattered clouds;47;2;133853;2000;265000
38544;38200;Vienne;38200-Vienne;45,52057837;4,881351562;31422;0;23,05949099;1363;0;19;47;clear sky;7;0;236098;1;742500
38563;38500;Voiron;38500-Voiron;45,37917208;5,582403107;21418;238620;22,37960153;957;10662;17;61;broken clouds;3;1;265774;500;1672660
39198;39100;Dole;39100-Dole;47,07554525;5,500624461;24602;390524;41,15196515;598;9490;18;42;overcast clouds;5;0;155154;1;498325,62
